nome,specie,razza,eta,sesso,colore,peso,altezza,url_img,info
Bella,Gatto,Siberiano,6,Femmina,Nero,3.72,30.47,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siberiano, colore Nero."
Luna,Cane,Beagle,9,Maschio,Grigio,4.55,33.5,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Beagle, colore Grigio."
Milo,Gatto,Bengala,6,Maschio,Marrone,8.05,18.09,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Bengala, colore Marrone."
Lucy,Gatto,Siamese,8,Maschio,Tigrato,6.49,32.34,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Tigrato."
Lucy,Cane,Bulldog Francese,2,Femmina,Grigio,6.61,28.64,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Grigio."
Micia,Cane,Bulldog Francese,5,Femmina,Bianco,9.92,22.16,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Bianco."
Milo,Gatto,Siamese,9,Maschio,Marrone,6.32,23.46,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Siamese, colore Marrone."
Milo,Cane,Labrador,5,Maschio,Nero,4.85,63.55,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Labrador, colore Nero."
Oscar,Cane,Bulldog Francese,2,Maschio,Bianco,31.84,23.48,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Bianco."
Bella,Cane,Beagle,12,Femmina,Dorato,38.89,53.15,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Beagle, colore Dorato."
Micia,Gatto,Siberiano,8,Maschio,Marrone,7.92,16.49,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siberiano, colore Marrone."
Bella,Gatto,Bengala,2,Femmina,Tigrato,4.38,29.17,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Tigrato."
Micia,Gatto,Siamese,2,Femmina,Nero,9.72,26.43,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Siamese, colore Nero."
Rex,Cane,Labrador,1,Maschio,Bianco,12.76,62.14,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Bianco."
Milo,Gatto,Siamese,9,Femmina,Tigrato,9.1,20.97,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Siamese, colore Tigrato."
Oscar,Cane,Pastore Tedesco,12,Femmina,Bianco,29.05,58.44,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Pastore Tedesco, colore Bianco."
Oscar,Cane,Bulldog Francese,14,Femmina,Nero,4.26,23.46,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Bulldog Francese, colore Nero."
Luna,Gatto,Persiano,12,Maschio,Marrone,7.23,16.62,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Persiano, colore Marrone."
Luna,Gatto,Siamese,15,Femmina,Nero,6.25,31.25,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Nero."
Bella,Cane,Carlino,13,Maschio,Grigio,3.1,23.72,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Carlino, colore Grigio."
Oscar,Cane,Labrador,9,Femmina,Nero,23.68,51.42,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Labrador, colore Nero."
Rex,Cane,Pastore Tedesco,1,Femmina,Grigio,9.69,31.09,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Pastore Tedesco, colore Grigio."
Oscar,Gatto,Bengala,11,Femmina,Grigio,8.62,33.15,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Grigio."
Luna,Gatto,Siberiano,15,Maschio,Nero,5.09,22.22,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Siberiano, colore Nero."
Oscar,Gatto,Siberiano,6,Femmina,Grigio,2.82,18.92,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siberiano, colore Grigio."
Milo,Gatto,Siberiano,8,Maschio,Bianco,4.0,17.35,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siberiano, colore Bianco."
Milo,Gatto,Siamese,11,Maschio,Grigio,3.94,17.99,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Grigio."
Luna,Cane,Pastore Tedesco,5,Maschio,Grigio,30.96,69.59,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Pastore Tedesco, colore Grigio."
Bella,Cane,Beagle,6,Maschio,Marrone,24.89,48.97,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Beagle, colore Marrone."
Rex,Cane,Labrador,8,Femmina,Nero,11.39,33.86,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Nero."
Bella,Gatto,Siberiano,10,Femmina,Bianco,3.34,25.55,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siberiano, colore Bianco."
Rex,Cane,Bulldog Francese,10,Femmina,Grigio,15.3,29.83,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Bulldog Francese, colore Grigio."
Fido,Gatto,Persiano,4,Femmina,Grigio,5.41,38.26,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Persiano, colore Grigio."
Fido,Gatto,Bengala,6,Femmina,Tigrato,9.6,30.35,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Bengala, colore Tigrato."
Luna,Gatto,Persiano,1,Femmina,Bianco,8.42,16.23,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Persiano, colore Bianco."
Bella,Gatto,Siamese,6,Maschio,Bianco,8.93,38.01,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Bianco."
Lucy,Gatto,Siamese,3,Femmina,Nero,4.83,19.68,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Nero."
Micia,Gatto,Persiano,10,Maschio,Nero,3.05,34.05,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Persiano, colore Nero."
Lucy,Gatto,Maine Coon,4,Maschio,Tigrato,9.27,27.23,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Maine Coon, colore Tigrato."
Milo,Cane,Bulldog Francese,14,Maschio,Marrone,10.75,33.78,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Bulldog Francese, colore Marrone."
Rex,Cane,Carlino,12,Femmina,Marrone,24.95,20.23,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Carlino, colore Marrone."
Luna,Gatto,Siamese,10,Maschio,Tigrato,8.2,17.2,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Tigrato."
Max,Cane,Carlino,13,Femmina,Bianco,14.22,30.58,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Carlino, colore Bianco."
Bella,Gatto,Siamese,12,Femmina,Grigio,2.11,18.88,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Grigio."
Lucy,Gatto,Persiano,9,Maschio,Nero,9.51,26.25,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Persiano, colore Nero."
Micia,Gatto,Bengala,11,Femmina,Marrone,5.97,29.1,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Marrone."
Fido,Gatto,Persiano,8,Maschio,Tigrato,5.24,35.21,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Persiano, colore Tigrato."
Lucy,Gatto,Siamese,13,Femmina,Marrone,4.99,17.97,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Marrone."
Oscar,Cane,Beagle,14,Femmina,Nero,15.52,25.82,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Beagle, colore Nero."
Lucy,Cane,Carlino,4,Femmina,Marrone,8.05,28.59,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Carlino, colore Marrone."
Charlie,Gatto,Maine Coon,2,Maschio,Nero,3.12,29.37,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Maine Coon, colore Nero."
Fido,Cane,Carlino,10,Maschio,Bianco,15.48,48.39,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Carlino, colore Bianco."
Lucy,Cane,Beagle,12,Femmina,Marrone,28.47,22.57,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Beagle, colore Marrone."
Luna,Cane,Carlino,15,Femmina,Nero,7.5,31.61,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Carlino, colore Nero."
Rex,Cane,Labrador,1,Maschio,Dorato,38.38,66.41,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Dorato."
Max,Cane,Beagle,2,Maschio,Grigio,31.18,43.45,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Beagle, colore Grigio."
Milo,Gatto,Maine Coon,9,Femmina,Nero,6.88,33.32,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Maine Coon, colore Nero."
Milo,Cane,Pastore Tedesco,1,Maschio,Dorato,3.68,32.85,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Pastore Tedesco, colore Dorato."
Rex,Cane,Labrador,11,Maschio,Marrone,4.48,31.05,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Marrone."
Charlie,Gatto,Siberiano,14,Maschio,Tigrato,2.99,25.65,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Siberiano, colore Tigrato."
Luna,Cane,Labrador,12,Maschio,Bianco,35.9,24.0,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Bianco."
Fido,Cane,Labrador,9,Femmina,Marrone,27.34,40.17,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Marrone."
Charlie,Cane,Bulldog Francese,1,Femmina,Dorato,9.83,62.6,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Bulldog Francese, colore Dorato."
Micia,Gatto,Bengala,1,Femmina,Bianco,5.79,39.23,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Bengala, colore Bianco."
Micia,Cane,Labrador,13,Femmina,Nero,3.79,37.0,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Labrador, colore Nero."
Oscar,Cane,Carlino,9,Maschio,Nero,11.75,66.13,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Carlino, colore Nero."
Fido,Cane,Carlino,13,Maschio,Dorato,25.06,56.66,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Carlino, colore Dorato."
Lucy,Gatto,Siamese,10,Femmina,Marrone,9.21,29.73,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siamese, colore Marrone."
Fido,Gatto,Maine Coon,5,Maschio,Bianco,2.98,22.15,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Maine Coon, colore Bianco."
Lucy,Cane,Carlino,6,Maschio,Bianco,20.79,37.45,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Carlino, colore Bianco."
Micia,Gatto,Siberiano,5,Femmina,Tigrato,4.37,36.94,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Siberiano, colore Tigrato."
Fido,Gatto,Maine Coon,6,Femmina,Grigio,9.62,37.85,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Maine Coon, colore Grigio."
Rex,Cane,Pastore Tedesco,7,Maschio,Bianco,4.05,43.05,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Pastore Tedesco, colore Bianco."
Rex,Gatto,Siamese,15,Maschio,Tigrato,6.7,36.23,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Tigrato."
Rex,Cane,Carlino,4,Femmina,Grigio,38.38,55.85,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Carlino, colore Grigio."
Oscar,Cane,Labrador,10,Femmina,Bianco,37.08,36.25,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Labrador, colore Bianco."
Bella,Cane,Pastore Tedesco,3,Femmina,Bianco,27.33,58.72,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Pastore Tedesco, colore Bianco."
Rex,Gatto,Bengala,5,Maschio,Bianco,3.55,15.72,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Bengala, colore Bianco."
Oscar,Gatto,Bengala,14,Maschio,Grigio,8.74,24.45,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Grigio."
Milo,Cane,Pastore Tedesco,6,Femmina,Grigio,24.43,43.84,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Pastore Tedesco, colore Grigio."
Max,Cane,Labrador,11,Maschio,Grigio,25.02,22.55,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Labrador, colore Grigio."
Fido,Cane,Labrador,8,Femmina,Bianco,11.89,29.85,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Labrador, colore Bianco."
Milo,Gatto,Maine Coon,10,Femmina,Grigio,6.05,22.64,https://images.unsplash.com/photo-1592194996308-7f8d3d28d77e,"Gatto di razza Maine Coon, colore Grigio."
Milo,Gatto,Siamese,10,Maschio,Bianco,7.56,20.7,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Bianco."
Luna,Cane,Pastore Tedesco,2,Maschio,Grigio,3.61,34.28,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Pastore Tedesco, colore Grigio."
Lucy,Cane,Labrador,9,Femmina,Nero,37.2,27.91,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Labrador, colore Nero."
Max,Cane,Bulldog Francese,6,Maschio,Nero,26.0,22.87,https://images.unsplash.com/photo-1517423440428-a5a00ad493e8,"Cane di razza Bulldog Francese, colore Nero."
Milo,Gatto,Siberiano,12,Femmina,Tigrato,4.84,22.25,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siberiano, colore Tigrato."
Max,Cane,Labrador,5,Femmina,Grigio,8.09,51.89,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Labrador, colore Grigio."
Charlie,Gatto,Siamese,1,Femmina,Tigrato,4.4,26.1,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Siamese, colore Tigrato."
Luna,Gatto,Bengala,4,Maschio,Grigio,8.27,35.55,https://images.unsplash.com/photo-1603202039931-727e38a80a8d,"Gatto di razza Bengala, colore Grigio."
Lucy,Cane,Bulldog Francese,7,Femmina,Dorato,31.74,60.38,https://images.unsplash.com/photo-1574169208507-843761748154,"Cane di razza Bulldog Francese, colore Dorato."
Milo,Gatto,Siamese,13,Femmina,Bianco,6.32,26.64,https://images.unsplash.com/photo-1547971877-39a3fcbf2c83,"Gatto di razza Siamese, colore Bianco."
Charlie,Gatto,Maine Coon,15,Femmina,Tigrato,7.85,28.67,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Maine Coon, colore Tigrato."
Lucy,Cane,Beagle,13,Maschio,Bianco,18.62,67.7,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Beagle, colore Bianco."
Fido,Cane,Beagle,14,Maschio,Grigio,39.94,54.62,https://images.unsplash.com/photo-1583511655683-622fa9ddc1ce,"Cane di razza Beagle, colore Grigio."
Bella,Gatto,Siamese,3,Femmina,Marrone,2.13,18.2,https://images.unsplash.com/photo-1592196528004-331a26070b54,"Gatto di razza Siamese, colore Marrone."
Micia,Cane,Carlino,9,Femmina,Marrone,8.04,64.7,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,"Cane di razza Carlino, colore Marrone."
Charlie,Gatto,Persiano,7,Maschio,Bianco,5.58,26.1,https://images.unsplash.com/photo-1543852786-1cf6624b9987,"Gatto di razza Persiano, colore Bianco."
Charlie,Cane,Pastore Tedesco,11,Maschio,Grigio,5.31,23.84,https://images.unsplash.com/photo-1560807707-8cc77767d783,"Cane di razza Pastore Tedesco, colore Grigio."